Geraet;Anzahl;Leistung_W;Std_Tag;Tage_Woche;Wochen_Jahr;Jahresverbrauch_kWh
Thermoluefter;7;19;12;7;52;580.944
Kuehlschrank;1;90;10;7;52;327.6
Geschirrspueler;1;1000;3;3;52;468
Waschmaschine;1;1000;2;3.5;52;364
Waermepumpe_Warmwasser;1;150;12;7;52;655.2
Waermepumpe_Heizen;1;350;24;7;20;1176
Elektrische_Rollaeden;10;100;0.1;3;52;15.6
Herd;1;3000;0.75;4;52;468
Mikrowelle;1;1000;0.1;7;52;36.4
3D_Drucker;1;250;0.5;1;52;6.5
Beleuchtung;15;10;0.5;7;52;27.3
Notebook;1;180;2;5;52;93.6
TV;2;120;2;7;52;174.72
